name,code,club_code,old_bps,new_bps,bps_change,old_bonus,new_bonus,bonus_change,old_points,new_points
Andersen,174874,31,679,486,-193,12,11,-1,121,120
Mitchell,244723,31,590,394,-196,10,8,-2,119,117
Edouard,199670,31,246,306,60,9,11,2,79,81
Estupiñan,204214,36,291,216,-75,7,6,-1,57,56
Morris,156700,102,451,546,95,18,22,4,146,150
Mitoma,451340,36,252,305,53,7,7,0,74,74
Kaminski,54738,102,642,305,-337,3,0,-3,86,83
João Pedro,475168,36,406,506,100,12,16,4,104,108
March,109345,36,134,154,20,6,6,0,39,39
Wan-Bissaka,214590,1,323,198,-125,5,5,0,47,47
R.Varane,90152,1,273,188,-85,2,3,1,44,45
Onana,202641,1,741,513,-228,10,9,-1,133,132
Wissa,216646,94,457,556,99,15,22,7,131,138
Maddison,172780,6,495,615,120,9,19,10,117,127
E.Royal,241157,6,233,153,-80,4,4,0,27,27
Bowen,178186,21,519,635,116,14,18,4,182,186
Souček,215439,21,456,510,54,9,9,0,116,116
Solanke,154566,91,560,675,115,20,26,6,175,181
Haaland,223094,43,792,923,131,29,32,3,217,220
Rodrigo,220566,43,737,816,79,19,21,2,159,161
Aké,126184,43,483,431,-52,6,5,-1,99,98
Isak,219168,4,645,732,87,23,27,4,172,176
Barnes,201666,4,205,250,45,3,4,1,64,65
Botman,220237,4,298,188,-110,4,3,-1,51,50
Diaby,243557,7,429,488,59,10,11,1,142,143
Disasi,220362,8,468,293,-175,6,3,-3,71,68
Chilwell,172850,8,123,87,-36,2,3,1,24,25
Luis Díaz,244731,14,413,519,106,9,11,2,142,144
Saka,223340,3,776,907,131,29,30,1,226,227
Nketiah,205533,3,206,258,52,5,6,1,71,72
Awoniyi,210156,17,247,285,38,5,7,2,67,69
Leno,80201,54,782,541,-241,15,12,-3,133,130
Diop,219924,54,259,161,-98,3,3,0,43,43
Ream,82514,54,267,151,-116,4,2,-2,40,38
Aurier,80226,17,137,88,-49,3,3,0,27,27
Wood,60689,17,456,521,65,22,22,0,131,131
Vicario,184254,6,730,494,-236,9,3,-6,112,106
Sarr,482442,6,397,440,43,4,4,0,86,86
Van de Ven,491279,6,501,372,-129,10,9,-1,81,80
Enciso,474120,36,62,88,26,0,1,1,20,21
Mbeumo,446008,94,364,438,74,12,13,1,127,128
Pinnock,231065,94,479,314,-165,5,5,0,77,77
Neto,69752,91,592,368,-224,14,7,-7,110,103
Diogo J.,194634,14,328,387,59,7,11,4,110,114
Semenyo,437730,91,363,447,84,14,15,1,107,108
Foden,209244,43,866,1022,156,31,32,1,230,231
J.Alvarez,461358,43,662,749,87,17,18,1,158,159
Akanji,211975,43,560,497,-63,8,4,-4,112,108
Rúben,171314,43,513,432,-81,3,5,2,88,90
Antonio,57531,21,228,284,56,8,9,1,78,79
Areola,84182,21,598,381,-217,11,7,-4,116,112
Ward-Prowse,101178,21,708,760,52,19,20,1,146,147
L.Paquetá,224024,21,398,480,82,7,11,4,100,104
Bailey,215711,7,482,544,62,11,14,3,148,151
McGinn,122806,7,502,599,97,9,11,2,119,121
Duran,476344,7,162,184,22,7,5,-2,50,48
Digne,101188,7,420,294,-126,5,3,-2,85,83
Martinez,98980,7,640,455,-185,19,10,-9,115,106
Ødegaard,184029,3,703,781,78,26,30,4,186,190
Saliba,462424,3,781,687,-94,13,11,-2,164,162
White,198869,3,776,672,-104,14,13,-1,182,181
Grealish,114283,43,199,250,51,6,6,0,50,50
Foderingham,82143,49,531,227,-304,7,5,-2,70,68
Kovačić,91651,43,316,341,25,2,3,1,59,60
B.Fernandes,141746,1,729,827,98,24,28,4,166,170
Eriksen,80607,1,248,259,11,4,2,-2,48,46
Gibbs-White,222531,17,563,646,83,13,15,2,142,144
Gross,60307,36,724,787,63,29,32,3,153,156
Schade,513418,94,81,95,14,2,2,0,33,33
Flekken,118342,94,685,437,-248,12,9,-3,119,116
Nørgaard,128295,94,414,460,46,3,4,1,74,75
Udogie,487053,6,402,276,-126,8,4,-4,79,75
Romero,221632,6,591,449,-142,15,9,-6,107,101
Pedro Porro,441164,6,720,555,-165,20,11,-9,136,127
Darwin,447203,14,397,504,107,9,15,6,132,138
Gordon,232826,4,594,719,125,14,17,3,183,186
A.Becker,116535,14,575,460,-115,9,2,-7,107,100
Salah,118748,14,621,741,120,24,29,5,211,216
José Sá,149065,39,622,399,-223,8,4,-4,107,103
Kilman,214048,39,592,360,-232,3,2,-1,82,81
Neto,247632,39,310,355,45,8,10,2,86,88
Kalajdžić,429414,39,88,96,8,4,4,0,24,24
Cash,199796,7,337,241,-96,4,3,-1,64,63
Kamara,226944,7,247,278,31,1,1,0,40,40
Foster,435973,90,229,272,43,4,6,2,75,77
Sterling,103955,8,323,406,83,8,11,3,123,126
Gusto,482609,8,409,337,-72,10,7,-3,74,71
N.Jackson,517052,8,479,595,116,12,17,5,142,147
J.Palhinha,154296,54,387,471,84,8,8,0,91,91
Andreas,156689,54,459,518,59,7,6,-1,127,126
Archer,433979,49,241,276,35,9,9,0,82,82
A.Doucoure,121599,11,335,385,50,7,10,3,116,119
Patterson,243571,11,187,108,-79,3,1,-2,34,32
Danjuma,220307,11,53,76,23,0,1,1,26,27
Rice,204480,3,744,797,53,17,17,0,165,165
G.Jesus,205651,3,271,341,70,10,10,0,85,85
Ferguson,487117,36,218,283,65,5,5,0,69,69
Gilmour,243568,36,354,394,40,4,4,0,61,61
Wilson,75115,4,246,299,53,4,5,1,69,70
Jensen,207283,94,422,455,33,10,10,0,98,98
Brooks,111317,91,71,82,11,2,0,-2,23,21
Eze,232413,31,490,604,114,11,12,1,136,137
Son,85971,6,707,822,115,25,26,1,213,214
Solomon,235674,6,53,56,3,2,1,-1,14,13
Zouma,103192,21,444,212,-232,6,4,-2,76,74
Andersen,208904,102,75,55,-20,1,0,-1,15,14
Alexander-Arnold,169187,14,590,503,-87,19,14,-5,122,117
Szoboszlai,424876,14,437,496,59,7,7,0,99,99
Boly,90585,17,275,185,-90,7,2,-5,58,53
Worrall,208912,17,74,40,-34,3,2,-1,13,12
Elanga,449434,17,386,456,70,5,9,4,119,123
McKenna,168281,17,64,42,-22,1,2,1,12,13
Kulusevski,445044,6,463,538,75,14,14,0,130,130
Hamer,196100,49,462,505,43,5,6,1,108,109
Richarlison,212319,6,305,385,80,7,10,3,122,125
Welbeck,50175,36,261,314,53,5,5,0,79,79
Hudson-Odoi,209046,17,371,444,73,14,16,2,109,111
Amdouni,492831,90,243,324,81,11,13,2,85,87
Beyer,241231,90,236,150,-86,4,2,-2,30,28
Trippier,77794,4,589,442,-147,20,18,-2,111,109
Schär,119471,4,629,441,-188,12,11,-1,123,122
Sanchez,215059,8,317,214,-103,7,5,-2,59,57
Kelly,235530,91,293,180,-113,5,5,0,48,48
Bernardo,165809,43,604,660,56,20,15,-5,141,136
Doku,248875,43,391,462,71,13,13,0,98,98
Robertson,122798,14,463,392,-71,8,5,-3,76,73
Gakpo,243298,14,409,495,86,12,17,5,106,111
Castagne,166477,54,510,368,-142,7,5,-2,105,103
Vinícius,245824,54,77,89,12,2,2,0,22,22
Douglas Luiz,230046,7,666,733,67,25,23,-2,148,146
Trossard,116216,3,398,462,64,11,11,0,138,138
Raya,154561,3,569,474,-95,6,5,-1,135,134
Zinchenko,206325,3,468,423,-45,16,12,-4,104,100
Bruno G.,208706,4,691,831,140,15,18,3,153,156
Evans,37642,1,293,210,-83,3,3,0,49,49
Dalot,216051,1,662,470,-192,13,9,-4,111,107
Walker,58621,43,633,541,-92,13,8,-5,123,118
Gvardiol,477424,43,549,505,-44,12,12,0,123,123
Tarkowski,17761,11,649,478,-171,10,10,0,117,117
Garner,232928,11,421,485,64,3,3,0,87,87
Lockyer,108796,102,162,82,-80,1,0,-1,23,22
Doughty,244262,102,577,306,-271,11,5,-6,101,95
Ogbene,229164,102,387,465,78,7,12,5,84,89
Virgil,97032,14,662,543,-119,8,5,-3,117,114
Mac Allister,243016,14,512,575,63,12,12,0,109,109
Watkins,178301,7,752,887,135,29,36,7,228,235
Pau,244954,7,461,333,-128,4,3,-1,85,84
Konsa,199798,7,562,420,-142,7,7,0,91,91
Guéhi,209036,31,397,295,-102,6,5,-1,66,65
Johnstone,101982,31,310,202,-108,7,4,-3,68,65
Robinson,169528,54,662,456,-206,8,3,-5,104,99
Coufal,164555,21,514,264,-250,9,6,-3,85,82
Emerson,109533,21,519,292,-227,8,6,-2,82,80
